Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
600 BLOCK OF NE HOLLADAY ST,21-904443,Property,Lloyd,2/28/2021,0900,Vandalism,Vandalism,45.530007311,-122.659142351,3/7/2021,1
600 BLOCK OF NE LIBERTY ST,21-78223,Property,Woodlawn,3/23/2021,2245,Vandalism,Vandalism,45.570994276,-122.658858509,3/23/2021,1
600 BLOCK OF NE MARINE DR,21-162,Property,East Columbia,1/1/2021,0506,Burglary,Burglary,45.599485943,-122.658747366,1/1/2021,1
600 BLOCK OF NE MARINE DR,21-51062,Property,East Columbia,2/25/2021,0915,Motor Vehicle Theft,Motor Vehicle Theft,45.599485943,-122.658747366,2/25/2021,1
600 BLOCK OF NE MORGAN ST,21-2734,Property,Woodlawn,1/4/2021,0422,Vandalism,Vandalism,45.574473627,-122.658834660,1/4/2021,1
600 BLOCK OF NE RANDALL AVE,21-68611,Property,Kerns,3/14/2021,1227,Motor Vehicle Theft,Motor Vehicle Theft,45.527533782,-122.637649805,3/14/2021,1
600 BLOCK OF NE RANDALL AVE,21-69635,Property,Kerns,3/14/2021,0001,Larceny Offenses,Theft From Motor Vehicle,45.527533782,-122.637649805,3/15/2021,1
600 BLOCK OF NW 13TH AVE,21-28948,Property,Pearl,2/1/2021,1102,Burglary,Burglary,45.527552133,-122.684382291,2/1/2021,1
600 BLOCK OF NW 13TH AVE,21-904300,Property,Pearl,3/4/2021,1915,Larceny Offenses,Theft From Motor Vehicle,45.527552133,-122.684382291,3/5/2021,1
600 BLOCK OF NW 14TH AVE,21-26309,Property,Pearl,1/29/2021,1155,Robbery,Robbery,45.527535224,-122.685271628,1/29/2021,1
600 BLOCK OF NW 14TH AVE,21-41917,Property,Pearl,2/15/2021,1702,Robbery,Robbery,45.527535224,-122.685271628,2/15/2021,1
